"Status","Suburb","Place","Date","Arrival.Time","Departure.Time","lat","lon"
"Previous","Canberra City","Fiction Bar, 50 Bunda Street, Canberra City","7 Aug 2021","9:00pm","11:59pm",-35.2778169,149.1316294
"Previous","Canberra City","Fiction Bar, 50 Bunda Street, Canberra City","8 Aug 2021","12:00am","4:45am",-35.2778169,149.1316294
"Previous","Woden","Church of Pentecost, 19B Irving Street","8 Aug 2021","10:30am","1:00pm",-35.3375595,149.0865906
"Previous","Fyshwick","Freedom Furniture, Canberra Outlet Centre, Shop 27, 337 Canberra Avenue","8 Aug 2021","2:00pm","2:20pm",-35.3367379,149.1786827
"Previous","Fyshwick","JB HiFi, Canberra Outlet Centre, Shop t26, 337 Canberra Avenue","8 Aug 2021","2:15pm","2:55pm",-35.3366103,149.1783856
"Previous","Fyshwick","TK Maxx, Canberra Outlet Centre, 337 Canberra Avenue","8 Aug 2021","3:10pm","3:40pm",-35.3367379,149.1786827
"Previous","Fyshwick","Windsor Smith, Canberra Outlet Centre, T103/337 Canberra Avenue","8 Aug 2021","2:45pm","3:15pm",-35.3367379,149.1786827
"Previous","Braddon","Assembly The People’s Pub, 11 Lonsdale Street","8 Aug 2021","8:00pm","9:00pm",-35.2743976,149.1322968
"Previous","Downer","Downer Community Centre, 6 Frencham Place","8 Aug 2021","1:00pm","6:00pm",-35.2448948,149.1445996
"Previous","Fyshwick","Stockade Training Centre, 7 Kembla Street","9 Aug 2021","7:30am","1:00pm",-35.325788,149.1779729
"Previous","Nicholls","Gold Creek School (including early childhood learning), Kelleway AvenueFAQs for schools","9 Aug 2021","8:25am","5:00pm",-35.1812815,149.1004454
"New","Lyneham","Lyneham High School - Goodwin StreetFAQs for schools","9 Aug 2021","8:30am","3:30pm",-35.2524674,149.130518
"New","Public Transport","Bus Route 30 – Dickson to Kaleen - Stops Cowper Street Dickson to Kaleen High School","9 Aug 2021","3:43pm","4:10pm",-35.2548139,149.1389487
"Previous","Phillip","Lennock Jaguar Land Rover, 126 Melrose Drive","9 Aug 2021","8:30am","5:30pm",-35.356842,149.0891491
"New","Mawson","Al Manoosh Bakery, 47 Mawson Place","9 Aug 2021","12 noon","1:00pm",-35.3654919,149.0949976
"New","Kaleen","Instrumental Music Program Rehearsal Room, UC High School Kaleen- Baldwin Street","9 Aug 2021","4:00pm","6:00pm",-35.225262,149.100475
"Previous","Phillip","Club Lime, Lower Ground Floor, Bonner House, Bradley Street","9 Aug 2021","5:30pm","7:30pm",-35.3460021,149.0875902
