"Status","Exposure.Location","Street","Suburb","Date","Arrival.Time","Departure.Time","Contact","lat","lon"
"","Fiction Bar","50 Bunda Street, Canberra City","Canberra City","07/082021 - Saturday","9:00pm","11:59pm","Close",-35.2832341712001,149.080036876818
"","Fiction Bar","50 Bunda Street, Canberra City","Canberra City","07/082021 - Saturday","9:00pm","11:59pm","Close",-35.2709548820635,149.145879151714
"","Fiction Bar","50 Bunda Street, Canberra City","Canberra City","07/082021 - Saturday","9:00pm","11:59pm","Close",-35.271725552333,149.180772960261
"","Freedom Furniture, Canberra Outlet Centre","T27, 337 Canberra Avenue","Fyshwick","08/08/2021 - Sunday","2:00pm","2:20pm","Close",-35.3356523922201,149.184096682237
"","JB HiFi, Canberra Outlet Centre","T26, 337 Canberra Avenue","Fyshwick","08/08/2021 - Sunday","2:15pm","2:55pm","Close",-35.3412183309701,149.221208185077
"","TK Maxx, Canberra Outlet Centre","X20, 337 Canberra Avenue","Fyshwick","08/08/2021 - Sunday","3:10pm","3:40pm","Close",-35.3326775116181,149.136543989558
"","Windsor Smith, Canberra Outlet Centre","T103, 337 Canberra Avenue","Fyshwick","08/08/2021 - Sunday","2:45pm","3:15pm","Close",-35.3394947155789,149.164204885795
"","Assembly The People’s Pub","11 Lonsdale Street","Braddon","08/08/2021 - Sunday","8:00pm","9:00pm","Close",-35.2774024714705,149.187226784256
"","Downer Community Centre","6 Frencham Place","Downer","08/08/2021 - Sunday","1:00pm","6:00pm","Close",-35.2445266757382,149.197313010071
"","Stockade Training Centre","7 Kembla Street","Fyshwick","09/08/2021 - Monday","7:30am","1:00pm","Close",-35.3284286183868,149.134390309702
"","Gold Creek School (including early childhood learning)","Kelleway Avenue","Nicholls","09/08/2021 - Monday","8:25am","5:00pm","Close",-35.1855407794361,149.138665971928
"","Lennock Jaguar Land Rover","126 Melrose Drive","Phillip","09/08/2021 - Monday","8:30am","5:30pm","Close",-35.3515490154261,149.090398443762
"","Lyneham High School","Goodwin Street","Lyneham","09/08/2021 - Monday","8:30am","3:30pm","Close",-35.2501730741631,149.140875756508
