"Status","Suburb","Place","Date","Arrival.Time","Departure.Time","table","type","lat","lon"
"","Canberra City","Fiction Bar, 50 Bunda Street, Canberra City","Saturday 7 August 2021","9:00pm","11:59pm","Close Contacts","Close Contacts ",-35.2778169,149.1316294
"","Canberra City","Fiction Bar, 50 Bunda Street, Canberra City","Sunday 8 August 2021","12:00am","4:45am","Close Contacts","Close Contacts ",-35.2778169,149.1316294
"","Woden","Church of Pentecost, 19B Irving Street","Sunday 8 August 2021","10:30am","1:00pm","Close Contacts","Close Contacts ",-35.3375595,149.0865906
"","Fyshwick","Freedom Furniture, Canberra Outlet Centre, Shop 27, 337 Canberra Avenue","Sunday 8 August 2021","2:00pm","2:20pm","Close Contacts","Close Contacts ",-35.3367379,149.1786827
"","Fyshwick","JB HiFi, Canberra Outlet Centre, Shop t26, 337 Canberra Avenue","Sunday 8 August 2021","2:15pm","2:55pm","Close Contacts","Close Contacts ",-35.3366103,149.1783856
"","Fyshwick","TK Maxx, Canberra Outlet Centre, 337 Canberra Avenue","Sunday 8 August 2021","3:10pm","3:40pm","Close Contacts","Close Contacts ",-35.3367379,149.1786827
"","Fyshwick","Windsor Smith, Canberra Outlet Centre, T103/337 Canberra Avenue","Sunday 8 August 2021","2:45pm","3:15pm","Close Contacts","Close Contacts ",-35.3367379,149.1786827
"","Braddon","Assembly The People’s Pub, 11 Lonsdale Street","Sunday 8 August 2021","8:00pm","9:00pm","Close Contacts","Close Contacts ",-35.2743976,149.1322968
"","Downer","Downer Community Centre, 6 Frencham Place","Sunday 8 August 2021","1:00pm","6:00pm","Close Contacts","Close Contacts ",-35.2448948,149.1445996
"","Fyshwick","Stockade Training Centre, 7 Kembla Street","Monday 9 August 2021","7:30am","1:00pm","Close Contacts","Close Contacts ",-35.325788,149.1779729
"","Nicholls","Gold Creek School (including early childhood learning), Kelleway AvenueFAQs for schools","Monday 9 August 2021","8:25am","5:00pm","Close Contacts","Close Contacts ",-35.1812815,149.1004454
"","Lyneham","Lyneham High School - Goodwin StreetFAQs for schools","Monday 9 August 2021","8:30am","3:30pm","Close Contacts","Close Contacts ",-35.2524674,149.130518
"","Public Transport","Bus Route 30 – Dickson to Kaleen - Stops Cowper Street Dickson to Kaleen High School","Monday 9 August 2021","3:43pm","4:10pm","Close Contacts","Close Contacts ",-35.2548139,149.1389487
"","Phillip","Lennock Jaguar Land Rover, 126 Melrose Drive","Monday 9 August 2021","8:30am","5:30pm","Close Contacts","Close Contacts ",-35.356842,149.0891491
"","Mawson","Al Manoosh Bakery, 47 Mawson Place","Monday 9 August 2021","12:00pm","1:00pm","Close Contacts","Close Contacts ",-35.3654919,149.0949976
"","Kaleen","Instrumental Music Program Rehearsal Room, UC High School Kaleen- Baldwin Street","Monday 9 August 2021","4:00pm","6:00pm","Close Contacts","Close Contacts ",-35.225262,149.100475
"","Phillip","Club Lime, Lower Ground Floor, Bonner House, Bradley Street","Monday 9 August 2021","5:30pm","7:30pm","Close Contacts","Close Contacts ",-35.3460021,149.0875902
"","Nicholls","Gold Creek School (including early childhood learning), Kelleway AvenueFAQs for schools","Tuesday 10 August 2021","8:00am","3:10pm","Close Contacts","Close Contacts ",-35.1812815,149.1004454
"","Fyshwick","Pellegrino’s Café, 7/49 Wollongong Street","Tuesday 10 August 2021","7:15am","8:15am","Close Contacts","Close Contacts ",-35.3247984,149.1794654
"","Phillip","Lennock Jaguar Land Rover, 126 Melrose Drive","Tuesday 10 August 2021","8:30am","5:30pm","Close Contacts","Close Contacts ",-35.356842,149.0891491
"","Lyneham","Lyneham High School - Goodwin StreetFAQs for schools","Tuesday 10 August 2021","8:30am","3:30pm","Close Contacts","Close Contacts ",-35.2524674,149.130518
"","Fyshwick","Stockade Training Centre, 7 Kembla Street","Tuesday 10 August 2021","9:00am","11:00am","Close Contacts","Close Contacts ",-35.325788,149.1779729
"","Manuka","Urban Pantry, 5 Bougainville Street","Tuesday 10 August 2021","10:30am","1:00pm","Close Contacts","Close Contacts ",-35.320762,149.13243
"","Fyshwick","Harvey Norman, Barrier Street","Tuesday 10 August 2021","10:00am","11:00am","Close Contacts","Close Contacts ",-35.3260397,149.1659681
"","Canberra City","Coffee Guru Canberra Centre, Shop K05, Canberra Centre, 148 Bunda Street","Tuesday 10 August 2021","12:00pm","1:00pm","Close Contacts","Close Contacts ",-35.2802191,149.133323
"","Mitchell","St Vincent de Paul, 32 Buckland Street","Tuesday 10 August 2021","3:30pm","4:00pm","Close Contacts","Close Contacts ",-35.2167073,149.1392156
"","Bruce","Club Lime – CISAC, 100 Eastern Valley Way","Tuesday 10 August 2021","6:30pm","8:15pm","Close Contacts","Close Contacts ",-35.24194,149.0743398
"","Nicholls","Gold Creek School (including early childhood learning), Kelleway AvenueFAQs for schools","Wednesday 11 August 2021","8:00am","5:00pm","Close Contacts","Close Contacts ",-35.1812815,149.1004454
"","Phillip","Lennock Jaguar Land Rover, 126 Melrose Drive","Wednesday 11 August 2021","8:30am","5:30pm","Close Contacts","Close Contacts ",-35.356842,149.0891491
"","Lyneham","Lyneham High School - Goodwin StreetFAQs for schools","Wednesday 11 August 2021","8:30am","3:30pm","Close Contacts","Close Contacts ",-35.2524674,149.130518
"","Mitchell","North Canberra Business Centre, 54 Vicars Street","Wednesday 11 August 2021","11:10am","11:30am","Close Contacts","Close Contacts ",-35.210138,149.1443583
"","Cook","Companion House, 41 Templeton Street","Wednesday 11 August 2021","11:30am","11:45am","Close Contacts","Close Contacts ",-35.2590484,149.0615234
"","Kingston","Capital Chemist, Green Square, 62 Jardine Street","Wednesday 11 August 2021","12 noon","12:15pm","Close Contacts","Close Contacts ",-35.3159461,149.1415931
"","Griffith","Coles Manuka, Franklin Street and Flinders Way","Wednesday 11 August 2021","12:15pm","12:40pm","Close Contacts","Close Contacts ",-35.3210247,149.1341946
"","Gungahlin","Gunners Place – Youth Centre, Level 1, 20 Hibberson Street","Wednesday 11 August 2021","1:30pm","2:30pm","Close Contacts","Close Contacts ",-35.1852318,149.133036
