"Status","Exposure.Location","Street","Suburb","Date","Arrival.Time","Departure.Time","Contact","type","lat","lon"
"","Fiction Bar","50 Bunda Street, Canberra City","Canberra City","07/08/2021 - Saturday","9:00pm","11:59pm","Close","Close ",-35.2778169,149.1316294
"","Fiction Bar","50 Bunda Street, Canberra City","Canberra City","08/08/2021 - Sunday","12:00am","4:45am","Close","Close ",-35.2778169,149.1316294
"","Church of Pentecost","19B Irving Street","Woden","08/08/2021 - Sunday","10:30am","1:00pm","Close","Close ",-35.3375595,149.0865906
"","Freedom Furniture, Canberra Outlet Centre","T27, 337 Canberra Avenue","Fyshwick","08/08/2021 - Sunday","2:00pm","2:20pm","Close","Close ",-35.3367379,149.1786827
"","JB HiFi, Canberra Outlet Centre","T26, 337 Canberra Avenue","Fyshwick","08/08/2021 - Sunday","2:15pm","2:55pm","Close","Close ",-35.3366103,149.1783856
"","TK Maxx, Canberra Outlet Centre","X20, 337 Canberra Avenue","Fyshwick","08/08/2021 - Sunday","3:10pm","3:40pm","Close","Close ",-35.3367379,149.1786827
"","Windsor Smith, Canberra Outlet Centre","T103, 337 Canberra Avenue","Fyshwick","08/08/2021 - Sunday","2:45pm","3:15pm","Close","Close ",-35.3367379,149.1786827
"","Assembly The People’s Pub","11 Lonsdale Street","Braddon","08/08/2021 - Sunday","8:00pm","9:00pm","Close","Close ",-35.2743976,149.1322968
"","Downer Community Centre","6 Frencham Place","Downer","08/08/2021 - Sunday","1:00pm","6:00pm","Close","Close ",-35.2448948,149.1445996
"","Stockade Training Centre","7 Kembla Street","Fyshwick","09/08/2021 - Monday","7:30am","1:00pm","Close","Close ",-35.325788,149.1779729
"","Gold Creek School (including early childhood learning)","Kelleway Avenue","Nicholls","09/08/2021 - Monday","8:25am","5:00pm","Close","Close ",-35.1812815,149.1004454
"","Lennock Jaguar Land Rover","126 Melrose Drive","Phillip","09/08/2021 - Monday","8:30am","5:30pm","Close","Close ",-35.356842,149.0891491
"","Lyneham High School","Goodwin Street","Lyneham","09/08/2021 - Monday","8:30am","3:30pm","Close","Close ",-35.2524674,149.130518
"","Al Manoosh Bakery","47 Mawson Place","Mawson","09/08/2021 - Monday","12 noon","1:00pm","Close","Close ",-35.3654919,149.0949976
"","Bus Route 30 – Dickson to Kaleen","Stops Cowper Street Dickson to Kaleen High School","Public Transport","09/08/2021 - Monday","3:43pm","4:10pm","Close","Close ",-35.2548139,149.1389487
"","The Civic Pub","8 Lonsdale Street","Braddon","09/08/2021 - Monday","3:45pm","9:45pm","Close","Close ",-35.2749938,149.1327273
"","Instrumental Music Program (IMP) Rehearsal Room, UC High School Kaleen","Baldwin Drive","Kaleen","09/08/2021 - Monday","4:00pm","6:00pm","Close","Close ",-35.2252261,149.1014353
"","Club Lime Mawson, Mawson Southlands Shopping Centre","Level 1, Mawson Drive","Mawson","09/08/2021 - Monday","4:30pm","6:30pm","Close","Close ",-35.3652383,149.0944679
"","Gold Creek School, Senior Campus Gym","Kelleway Ave","Nicholls","09/08/2021 - Monday","5:00pm","9:30pm","Close","Close ",-35.1799885,149.0941286
"","Club Lime, Lower Ground Floor, Bonner House","Bradley Street","Phillip","09/08/2021 - Monday","5:30pm","7:30pm","Close","Close ",-35.3460021,149.0875902
"","Club Lime, CISAC","100 Eastern Valley Way","Bruce","09/08/2021 - Monday","7:00pm","9:00pm","Close","Close ",-35.2419481,149.0749404
"New","UCSSC Lake Ginninderra: Gymnasium and Cafeteria/Canteen area","2 Emu Bank","Belconnen","09/08/2021 - Monday","10:00am","1:30pm","Close","Close New",-35.2387098,149.0736849
"","F45 Training","10 National Circuit","Barton","10/08/2021 - Tuesday","5:00am","8:00am","Close","Close ",-35.3085945,149.1339174
"","Pellegrino’s Café","7/49 Wollongong Street","Fyshwick","10/08/2021 - Tuesday","7:15am","8:15am","Close","Close ",-35.3247984,149.1794654
"","Gold Creek School (including early childhood learning)","Kelleway Avenue","Nicholls","10/08/2021 - Tuesday","8:00am","3:10pm","Close","Close ",-35.1812815,149.1004454
"","Lennock Jaguar Land Rover","126 Melrose Drive","Phillip","10/08/2021 - Tuesday","8:30am","5:30pm","Close","Close ",-35.356842,149.0891491
"","Lyneham High School","Goodwin Street","Lyneham","10/08/2021 - Tuesday","8:30am","3:30pm","Close","Close ",-35.2524674,149.130518
"","CIT Bruce Campus (Individuals who attended Building H only)","35 Vowels Crescent","Bruce","10/08/2021 - Tuesday","8:45am","4:30pm","Close","Close ",-35.2481112,149.0946633
"","Stockade Training Centre","7 Kembla Street","Fyshwick","10/08/2021 - Tuesday","9:00am","11:00am","Close","Close ",-35.325788,149.1779729
"","Urban Pantry","5 Bougainville Street","Manuka","10/08/2021 - Tuesday","10:30am","1:00pm","Close","Close ",-35.320762,149.13243
"","Harvey Norman","Barrier Street","Fyshwick","10/08/2021 - Tuesday","10:00am","11:00am","Close","Close ",-35.3260397,149.1659681
