"Status","Exposure.Location","Street","Suburb","Date","Arrival.Time","Departure.Time","Contact","lat","lon"
"","Fiction Bar","50 Bunda Street, Canberra City","Canberra City","07/082021 - Saturday","9:00pm","11:59pm","Close",-35.2778313229397,149.131609727485
"","Fiction Bar","50 Bunda Street, Canberra City","Canberra City","08/08/2021 - Sunday","12:00am","4:45am","Close",-35.2778328157261,149.131613262047
"","Church of Pentecost","19B Irving Street","Woden","08/08/2021 - Sunday","10:30am","1:00pm","Close",-35.3375612168846,149.086595640648
"","Freedom Furniture, Canberra Outlet Centre","T27, 337 Canberra Avenue","Fyshwick","08/08/2021 - Sunday","2:00pm","2:20pm","Close",-35.3367552983596,149.178688506278
"","JB HiFi, Canberra Outlet Centre","T26, 337 Canberra Avenue","Fyshwick","08/08/2021 - Sunday","2:15pm","2:55pm","Close",-35.336616056045,149.178370360765
"","TK Maxx, Canberra Outlet Centre","X20, 337 Canberra Avenue","Fyshwick","08/08/2021 - Sunday","3:10pm","3:40pm","Close",-35.3367473770399,149.178669849746
"","Windsor Smith, Canberra Outlet Centre","T103, 337 Canberra Avenue","Fyshwick","08/08/2021 - Sunday","2:45pm","3:15pm","Close",-35.3367573460946,149.178696170999
"","Assembly The People’s Pub","11 Lonsdale Street","Braddon","08/08/2021 - Sunday","8:00pm","9:00pm","Close",-35.2743946989116,149.132306942221
"","Downer Community Centre","6 Frencham Place","Downer","08/08/2021 - Sunday","1:00pm","6:00pm","Close",-35.2448958218247,149.144596351069
"","Stockade Training Centre","7 Kembla Street","Fyshwick","9/08/2021 - Monday","7:30am","1:00pm","Close",-35.3257713403906,149.177979095272
"","Gold Creek School (including early childhood learning)","Kelleway Avenue","Nicholls","9/08/2021 - Monday","8:25am","5:00pm","Close",-35.1812851053841,149.100465384571
"","Lennock Jaguar Land Rover","126 Melrose Drive","Phillip","9/08/2021 - Monday","8:30am","5:30pm","Close",-35.3568254603538,149.089145247895
"","Lyneham High School","Goodwin Street","Lyneham","9/08/2021 - Monday","8:30am","3:30pm","Close",-35.252479321368,149.130498218674
"","Al Manoosh Bakery","47 Mawson Place","Mawson","9/08/2021 - Monday","12 noon","1:00pm","Close",-35.3654754862148,149.095011502704
"","Bus Route 30 – Dickson to Kaleen","Stops Cowper Street Dickson to Kaleen High School","Public Transport","9/08/2021 - Monday","3:43pm","4:10pm","Close",-35.2548059320504,149.138948840339
"","The Civic Pub","8 Lonsdale Street","Braddon","9/08/2021 - Monday","3:45pm","9:45pm","Close",-35.2750058681513,149.132727049804
"","Instrumental Music Program (IMP) Rehearsal Room, UC High School Kaleen","Baldwin Drive","Kaleen","9/08/2021 - Monday","4:00pm","6:00pm","Close",-35.22521737328,149.101452085724
"","Club Lime Mawson, Mawson Southlands Shopping Centre","Level 1, Mawson Drive","Mawson","9/08/2021 - Monday","4:30pm","6:30pm","Close",-35.3652524595942,149.094473149235
"","Gold Creek School, Senior Campus Gym","Kelleway Ave","Nicholls","9/08/2021 - Monday","5:00pm","9:30pm","Close",-35.1799943462126,149.094111385091
"","Club Lime, Lower Ground Floor, Bonner House","Bradley Street","Phillip","9/08/2021 - Monday","5:30pm","7:30pm","Close",-35.3460111387951,149.087576933335
"","Club Lime, CISAC","100 Eastern Valley Way","Bruce","9/08/2021 - Monday","7:00pm","9:00pm","Close",-35.2419463443597,149.074953387894
