"Status","Exposure.Location","Street","Suburb","Date","Arrival.Time","Departure.Time","Contact","lat","lon"
"","Fiction Bar","50 Bunda Street, Canberra City","Canberra City","07/082021 - Saturday","9:00pm","11:59pm","Close",-35.2832001719214,149.080050495889
"","Fiction Bar","50 Bunda Street, Canberra City","Canberra City","07/082021 - Saturday","9:00pm","11:59pm","Close",-35.270965616962,149.145852807675
"","Fiction Bar","50 Bunda Street, Canberra City","Canberra City","07/082021 - Saturday","9:00pm","11:59pm","Close",-35.2717145183552,149.180754426483
"","Freedom Furniture, Canberra Outlet Centre","T27, 337 Canberra Avenue","Fyshwick","08/08/2021 - Sunday","2:00pm","2:20pm","Close",-35.3356143832691,149.184099074952
"","JB HiFi, Canberra Outlet Centre","T26, 337 Canberra Avenue","Fyshwick","08/08/2021 - Sunday","2:15pm","2:55pm","Close",-35.3411913466297,149.221203472427
"","TK Maxx, Canberra Outlet Centre","X20, 337 Canberra Avenue","Fyshwick","08/08/2021 - Sunday","3:10pm","3:40pm","Close",-35.3327137496545,149.136523969057
"","Windsor Smith, Canberra Outlet Centre","T103, 337 Canberra Avenue","Fyshwick","08/08/2021 - Sunday","2:45pm","3:15pm","Close",-35.3394575048032,149.164215819832
"","Assembly The People’s Pub","11 Lonsdale Street","Braddon","08/08/2021 - Sunday","8:00pm","9:00pm","Close",-35.2774311373786,149.187239399553
"","Downer Community Centre","6 Frencham Place","Downer","08/08/2021 - Sunday","1:00pm","6:00pm","Close",-35.2445054625106,149.197319659064
"","Stockade Training Centre","7 Kembla Street","Fyshwick","09/08/2021 - Monday","7:30am","1:00pm","Close",-35.3284652130728,149.134411473935
"","Gold Creek School (including early childhood learning)","Kelleway Avenue","Nicholls","09/08/2021 - Monday","8:25am","5:00pm","Close",-35.1855266480589,149.138671732963
"","Lennock Jaguar Land Rover","126 Melrose Drive","Phillip","09/08/2021 - Monday","8:30am","5:30pm","Close",-35.351526931539,149.090393458942
"","Lyneham High School","Goodwin Street","Lyneham","09/08/2021 - Monday","8:30am","3:30pm","Close",-35.2501487152321,149.14085747628
"","Al Manoosh Bakery","47 Mawson Place","Mawson","09/08/2021 - Monday","12 noon","1:00pm","Close",-35.3665120412775,149.086437261775
"","Bus Route 30 – Dickson to Kaleen","Stops Cowper Street Dickson to Kaleen High School","Public Transport","09/08/2021 - Monday","3:43pm","4:10pm","Close",-35.253240873816,149.124880404994
"","The Civic Pub","8 Lonsdale Street","Braddon","09/08/2021 - Monday","3:45pm","9:45pm","Close",-35.2781877420179,149.123122504704
"","Instrumental Music Program (IMP) Rehearsal Room, UC High School Kaleen","Baldwin Drive","Kaleen","09/08/2021 - Monday","4:00pm","6:00pm","Close",-35.2219414969016,149.078770993184
"","Club Lime Mawson, Mawson Southlands Shopping Centre","Level 1, Mawson Drive","Mawson","09/08/2021 - Monday","4:30pm","6:30pm","Close",-35.3692289213935,149.133066205005
"","Gold Creek School, Senior Campus Gym","Kelleway Ave","Nicholls","09/08/2021 - Monday","5:00pm","9:30pm","Close",-35.1799420723534,149.07579833712
