"Status","Exposure.Location","Street","Suburb","Date","Arrival.Time","Departure.Time","Contact","lat","lon","doubles","moved"
"","Subway Dickson","Shop 1/71-81 Woolley Street","Dickson","19/10/2021 - Tuesday","11:00am","9:00pm","Casual",-35.249573,149.1373042,"<strong/>!Location has more than<br> one entry. Zoom in and search table!</strong/>",TRUE
"New","Guzman y Gomez Gungahlin","30-33 Hibberson Street","Gungahlin","19/10/2021 - Tuesday","11:00am","3:30pm","Casual",-35.1856585,149.1344937,"<strong/>!Location has more than<br> one entry. Zoom in and search table!</strong/>",TRUE
"New","Thrifty Car Rental Fyshwick","10 Goolwa Place","Fyshwick","19/10/2021 - Tuesday","4:20pm","5:15pm","Casual",-35.3219175,149.1746111,"",FALSE
"","Subway Dickson","Shop 1/71-81 Woolley Street","Dickson","18/10/2021 - Monday","12:00pm","4:30pm","Casual",-35.249573,149.1372542,"<strong/>!Location has more than<br> one entry. Zoom in and search table!</strong/>",TRUE
"New","Guzman y Gomez Gungahlin","30-33 Hibberson Street","Gungahlin","18/10/2021 - Monday","5:30pm","10:15pm","Casual",-35.1856585,149.1344437,"<strong/>!Location has more than<br> one entry. Zoom in and search table!</strong/>",TRUE
"","Campbell Primary School (Construction Site only)","25 Chauvel Street","Campbell","16/10/2021 - Saturday","6:30am","12:30pm","Close",-35.289871,149.156357,"",FALSE
"","Campbell Primary School (Construction Site only)","25 Chauvel Street","Campbell","15/10/2021 - Friday","6:30am","3:00pm","Close",-35.289871,149.156307,"",FALSE
"","HealthFount Medical Centre","5 Macquarie Place","Macquarie","15/10/2021 - Friday","9:25am","11:15am","Casual",-35.2482747,149.0599429,"",FALSE
"","HealthFount Medical Centre","5 Macquarie Place","Macquarie","15/10/2021 - Friday","3:20pm","4:20pm","Casual",-35.2482747,149.0598929,"",FALSE
"","Kippax Uniting Community Centre (foyer only)","Corner Luke Street and Hardwick Crescent","Holt","15/10/2021 - Friday","10:55am","12:00pm","Casual",-35.2229223,149.0185341,"",FALSE
"","Subway Dickson","Shop 1/71-81 Woolley Street","Dickson","15/10/2021 - Friday","12:00pm","9:00pm","Casual",-35.249573,149.1372042,"<strong/>!Location has more than<br> one entry. Zoom in and search table!</strong/>",TRUE
"","Campbell Primary School (Construction Site only)","25 Chauvel Street","Campbell","14/10/2021 - Thursday","6:30am","5:30pm","Close",-35.289871,149.156257,"",FALSE
"","Narrabundah Early Childhood School (Grass Parrot Room and Kangaroo Room only)","23-27 Kootara Crescent","Narrabundah","14/10/2021 - Thursday","9:00am","3:30pm","Close",-35.3287917,149.1509132,"",FALSE
"","Campbell Primary School (Construction Site only)","25 Chauvel Street","Campbell","13/10/2021 - Wednesday","6:30am","5:30pm","Close",-35.289871,149.156207,"",FALSE
"","Kingston Foreshore Medical Centre","147/39 Eastlake Parade","Kingston","13/10/2021 - Wednesday","10:25am","11:20am","Casual",-35.3130966,149.1466272,"",FALSE
"","Narrabundah Early Childhood School (Grass Parrot Room and Kangaroo Room only)","23-27 Kootara Crescent","Narrabundah","13/10/2021 - Wednesday","9:00am","3:30pm","Close",-35.3287917,149.1508882,"<strong/>!Location has more than<br> one entry. Zoom in and search table!</strong/>",TRUE
"","Campbell Primary School (Construction Site only)","25 Chauvel Street","Campbell","12/10/2021 - Tuesday","6:30am","5:30pm","Close",-35.289871,149.156157,"",FALSE
"","Narrabundah Early Childhood School (Grass Parrot Room and Kangaroo Room only)","23-27 Kootara Crescent","Narrabundah","12/10/2021 - Tuesday","9:00am","3:30pm","Close",-35.3287917,149.1508382,"<strong/>!Location has more than<br> one entry. Zoom in and search table!</strong/>",TRUE
"","Phillip Medical and Dental Centre","33 Colbee Court","Phillip","12/10/2021 - Tuesday","7:00am","7:50am","Casual",-35.351947,149.0897732,"",FALSE
"","Belconnen Physiotherapy Clinic","1/20 Purdue Street","Belconnen","11/10/2021 - Monday","4:20pm","5:30pm","Casual",-35.238661,149.061821,"",FALSE
"","Campbell Primary School (Construction Site only)","25 Chauvel Street","Campbell","11/10/2021 - Monday","6:30am","5:30pm","Close",-35.289871,149.156107,"",FALSE
"","Narrabundah Early Childhood School (Grass Parrot Room and Kangaroo Room only)","23-27 Kootara Crescent","Narrabundah","11/10/2021 - Monday","9:00am","3:30pm","Close",-35.3287917,149.1508132,"",FALSE
"","Woolworths Majura Park","Majura Park Shopping Centre, 18/16 Spitfire Avenue","Canberra Airport","11/10/2021 - Monday","1:30pm","4:50pm","Casual",-35.3001906,149.1904008,"",FALSE
"","Friendly Grocer Hughes","16 Hughes Place","Hughes","10/10/2021 - Sunday","8:00am","12:30pm","Casual",-35.3335607,149.0937384,"",FALSE
"","7-Eleven Holt","88 Hardwick Crescent","Holt","09/10/2021 - Saturday","4:05pm","4:50pm","Casual",-35.2209147,149.0178943,"",FALSE
"","Bus Route 4 Transport Canberra Code BUS646","Woden Interchange to Tuggeranong Interchange","Public Transport","09/10/2021 - Saturday","1:15pm","1:28pm","Casual",-35.3444429,149.0873192,"",FALSE
"","Bus Route 4 Transport Canberra Code BUS688","Tuggeranong Interchange to Woden Interchange","Public Transport","09/10/2021 - Saturday","11:59am","12:17pm","Casual",-35.414955,149.06613,"",FALSE
"","Bus Route 74 Transport Canberra Code BUS604","Richardson to Tuggeranong Interchange","Public Transport","09/10/2021 - Saturday","11:34am","11:47am","Casual",-35.414225,149.065303,"",FALSE
"","Bus Route 75 Transport Canberra Code BUS562","Tuggeranong Interchange to Richardson","Public Transport","09/10/2021 - Saturday","3:34pm","3:45pm","Casual",-35.414955,149.066105,"",FALSE
"","Coles Canberra Centre","Canberra Centre, 148 Bunda Street","Canberra City","09/10/2021 - Saturday","1:30pm","2:20pm","Casual",-35.2802271,149.1333059,"",FALSE
"","Friendly Grocer Narrabundah","6 Iluka Street","Narrabundah","09/10/2021 - Saturday","8:00am","5:30pm","Casual",-35.3326795,149.1540529,"",FALSE
"","Lazzari Bros' Espresso","3 Carleton Street","Kambah","09/10/2021 - Saturday","10:00am","4:30pm","Casual",-35.383194,149.050146,"",FALSE
"","Pixie and Bear","1/15 Kingsland Parade","Casey","09/10/2021 - Saturday","9:30am","11:00am","Casual",-35.1743655,149.0953865,"",FALSE
"","Tuggeranong Discount Drug Store","17 Anketell Street","Greenway","09/10/2021 - Saturday","8:50am","7:30pm","Casual",-35.4168087,149.0679945,"",FALSE
"","Woolworths Dickson","1 Dickson Place","Dickson","09/10/2021 - Saturday","7:50am","8:40am","Casual",-35.249974,149.1386501,"",FALSE
"","Woolworths Gungahlin","Marketplace Gungahlin, 30 and 33 Hibberson Street","Gungahlin","09/10/2021 - Saturday","1:50pm","3:05pm","Casual",-35.1846599,149.1349762,"",FALSE
"","Campbell Primary School (Construction Site only)","25 Chauvel Street","Campbell","08/10/2021 - Friday","6:30am","3:00pm","Close",-35.289871,149.156057,"",FALSE
